iter	Passed	Remaining
670	6357	3117
671	6367	3107
672	6374	3097
673	6385	3088
674	6393	3078
675	6403	3069
676	6414	3060
677	6422	3050
678	6432	3040
679	6441	3031
680	6449	3021
681	6459	3011
682	6467	3001
683	6476	2992
684	6487	2983
685	6495	2973
686	6504	2963
687	6514	2954
688	6522	2944
689	6532	2934
690	6542	2925
691	6550	2915
692	6560	2906
693	6570	2897
694	6626	2907
695	6639	2900
696	6653	2892
697	6667	2884
698	6679	2876
699	6690	2867
700	6705	2860
701	6715	2850
702	6738	2846
703	6746	2836
704	6756	2827
705	6764	2816
706	6774	2807
707	6785	2798
708	6794	2788
709	6803	2779
710	6811	2768
711	6819	2758
712	6829	2748
713	6837	2738
714	6847	2729
715	6857	2719
716	6865	2709
717	6875	2700
718	6883	2690
719	6893	2680
720	6903	2671
721	6912	2661
722	6922	2652
723	6931	2642
724	6939	2632
725	6950	2623
726	6958	2612
727	6966	2602
728	6975	2593
729	6984	2583
730	6994	2574
731	7004	2564
732	7012	2554
733	7022	2544
734	7030	2534
735	7038	2524
736	7048	2515
737	7056	2505
738	7066	2495
739	7076	2486
740	7084	2476
741	7094	2466
742	7102	2456
743	7111	2446
744	7121	2437
745	7130	2427
746	7138	2417
747	7148	2408
748	7158	2398
749	7166	2388
750	7176	2379
751	7184	2369
752	7194	2360
753	7205	2350
754	7213	2340
755	7223	2331
756	7230	2321
757	7238	2311
758	7248	2301
759	7256	2291
760	7267	2282
761	7277	2272
762	7285	2263
763	7295	2253
764	7305	2244
765	7313	2234
766	7323	2224
767	7334	2215
768	7343	2205
769	7353	2196
770	7361	2186
771	7371	2177
772	7381	2167
773	7389	2157
774	7399	2148
775	7409	2138
776	7418	2129
777	7428	2119
778	7436	2109
779	7444	2099
780	7454	2090
781	7463	2080
782	7473	2071
783	7483	2061
784	7491	2051
785	7501	2042
786	7509	2032
787	7518	2022
788	7528	2013
789	7536	2003
790	7545	1993
791	7555	1984
792	7563	1974
793	7573	1964
794	7581	1955
795	7592	1945
796	7602	1936
797	7610	1926
798	7620	1916
799	7629	1907
800	7637	1897
801	7646	1887
802	7654	1877
803	7664	1868
804	7674	1859
805	7684	1849
806	7694	1840
807	7704	1830
808	7712	1820
809	7722	1811
810	7730	1801
811	7739	1791
812	7749	1782
813	7757	1772
814	7767	1763
815	7777	1753
816	7786	1744
817	7796	1734
818	7807	1725
819	7815	1715
820	7825	1706
821	7833	1696
822	7841	1686
823	7851	1677
824	7860	1667
825	7870	1657
826	7880	1648
827	7889	1638
828	7899	1629
829	7909	1619
830	7916	1610
831	7927	1600
832	7938	1591
833	7946	1581
834	7956	1572
835	7964	1562
836	7975	1553
837	7985	1543
838	7993	1533
839	8003	1524
840	8013	1515
841	8021	1505
842	8031	1495
843	8039	1486
844	8048	1476
845	8057	1466
846	8066	1457
847	8076	1447
848	8085	1438
849	8093	1428
850	8104	1418
851	8112	1409
852	8120	1399
853	8130	1389
854	8138	1380
855	8148	1370
856	8158	1361
857	8167	1351
858	8178	1342
859	8188	1333
860	8198	1323
861	8208	1314
862	8218	1304
863	8226	1294
864	8236	1285
865	8244	1275
866	8253	1266
867	8264	1256
868	8272	1247
869	8280	1237
870	8291	1228
871	8299	1218
872	8309	1208
873	8319	1199
874	8328	1189
875	8339	1180
876	8348	1170
877	8357	1161
878	8367	1151
879	8376	1142
880	8385	1132
881	8394	1123
882	8402	1113
883	8412	1103
884	8423	1094
885	8431	1084
886	8441	1075
887	8451	1065
888	8460	1056
889	8470	1046
890	8478	1037
891	8486	1027
892	8497	1018
893	8505	1008
894	8515	999
895	8526	989
896	8534	980
897	8544	970
898	8555	961
899	8563	951
900	8573	942
901	8583	932
902	8593	923
903	8603	913
904	8611	903
905	8619	894
906	8629	884
907	8637	875
908	8648	865
909	8658	856
910	8667	846
911	8678	837
912	8687	827
913	8695	818
914	8705	808
915	8713	799
916	8723	789
917	8735	780
918	8746	770
919	8755	761
920	8769	752
921	8779	742
922	8787	733
923	8795	723
924	8805	713
925	8813	704
926	8823	694
927	8832	685
928	8840	675
929	8850	666
930	8858	656
931	8868	647
932	8879	637
933	8887	627
934	8897	618
935	8907	609
936	8916	599
937	8925	589
938	8936	580
939	8944	570
940	8955	561
941	8965	552
942	8974	542
943	8985	533
944	8996	523
945	9004	514
946	9014	504
947	9022	494
948	9030	485
949	9040	475
950	9048	466
951	9058	456
952	9070	447
953	9078	437
954	9089	428
955	9099	418
956	9108	409
957	9118	399
958	9128	390
959	9136	380
960	9146	371
961	9157	361
962	9165	352
963	9177	342
964	9187	333
965	9196	323
966	9206	314
967	9214	304
968	9222	295
969	9232	285
970	9242	276
971	9250	266
972	9260	256
973	9268	247
974	9277	237
975	9288	228
976	9296	218
977	9306	209
978	9314	199
979	9322	190
980	9332	180
981	9340	171
982	9350	161
983	9360	152
984	9369	142
985	9379	133
986	9389	123
987	9397	114
988	9407	104
989	9415	95
990	9425	85
991	9436	76
992	9443	66
993	9454	57
994	9462	47
995	9470	38
996	9481	28
997	9489	19
998	9498	9
999	9508	0
